Date,Site,Set,Time,Number,Species,Length
2022-06-10,Old Orchard,1,9:00,15,Bay Pipefish,"150, 170"
2022-06-10,Old Orchard,1,9:00,1,Sharpnose Sculpin,
2022-06-10,Old Orchard,1,9:00,67,Staghorn Sculpin,"45, 110, 60, 70, 35"
2022-06-10,Old Orchard,1,9:00,12,Starry Flounder,45
2022-06-10,Old Orchard,1,9:00,15,Arrow Goby,50
2022-06-10,Old Orchard,1,9:00,2,Cutthroat Trout,"130, 150"
2022-06-10,Old Orchard,1,9:00,1,Three-Spined Stickleback,55
2022-06-10,Old Orchard,1,9:00,1,Pink Salmon,80
2022-06-10,Old Orchard,1,9:00,1,Saddleback Gunnel,40
2022-06-10,Old Orchard,1,9:00,1,Crescent Gunnel,40
2022-06-10,Old Orchard,1,9:00,1,Shiner Perch,40
2022-06-10,Dockrill,1,10:15,1,Plainfin Midshipman,240
2022-06-10,Dockrill,1,10:15,6,Staghorn Sculpin,"110, 160, 75"
2022-06-10,Dockrill,1,10:15,85,Shiner Perch,"90, 105, 110"
2022-06-10,Dockrill,1,10:15,4,Bay Pipefish,"160, 150"
2022-06-10,Dockrill,2,10:40,76,Shiner Perch,85
2022-06-10,Dockrill,2,10:40,9,Staghorn Sculpin,115
2022-06-10,Barnett,1,11:30,1,Shiner Perch,85
2022-06-10,Barnett,1,11:30,2,Starry Flounder,"210, 105"
2022-06-10,Barnett,1,11:30,5,Staghorn Sculpin,"115, 55"
2022-06-10,Barnett,1,11:30,1,Bay Pipefish,140
2022-06-10,Barnett,1,11:30,1,Saddleback Gunnel,120
2022-06-10,Barnett,2,11:45,1,Bay Pipefish,145
2022-06-10,Barnett,2,11:45,2,Staghorn Sculpin,"65, 95"
2022-06-10,Slaughterhouse,1,13:05,49,Shiner Perch,"95, 95, 95"
2022-06-10,Slaughterhouse,1,13:05,77,Staghorn Sculpin,"125, 65, 65, 65, 65, 65 75, 50"
2022-06-10,Slaughterhouse,1,13:05,1,Three-Spined Stickleback,55
2022-06-10,Slaughterhouse,1,13:05,7,Starry Flounder,"50, 50, 50, 50, 50, 50, 55"
2022-06-10,Slaughterhouse,1,13:05,4,Arrow Goby,40
2022-06-10,Reed Point,1,14:05,2,Pile Perch,"200, 220"
2022-06-10,Reed Point,1,14:05,3,Northern Anchovy,"100, 90"
2022-06-10,Reed Point,1,14:05,19,Three-Spined Stickleback,"55, 65"
2022-06-10,Reed Point,1,14:05,72,Shiner Perch,"75, 70"
2022-06-10,Reed Point,1,14:05,1,Staghorn Sculpin,30
2022-06-24,Reed Point,1,8:45,33,Shiner Perch,"100, 88, 83, 95"
2022-06-24,Reed Point,1,8:45,5,Three-Spined Stickleback,"55, 15, 10, 20, 20"
2022-06-24,Reed Point,1,8:45,5,Bay Pipefish,"130, 140, 110"
2022-06-24,Reed Point,1,8:45,1,Tidepool Sculpin,55
2022-06-24,Reed Point,1,8:45,2,Sharpnose Sculpin,"15, 25"
2022-06-24,Reed Point,2,9:05,2,Shiner Perch,"107, 34"
2022-06-24,Reed Point,2,9:05,5,Bay Pipefish,"127, 140, 141, 160"
